,title,published,views,likes,comments,creator
28,I left Meta...and I'm lowkey freaking out 🥲,2022-06-09,232284,12540,770,Tina Huang
29,Why you keep quitting online courses (and then buy more),2022-06-02,244995,10082,621,Tina Huang
30,How I trick myself to be self-disciplined,2022-05-21,124810,6778,235,Tina Huang
31,How to Take Notes for Technical Things,2022-05-17,108685,5398,120,Tina Huang
32,Tips to Learn Technical Things Faster,2022-05-07,202101,11515,276,Tina Huang
33,stop being lazy.,2022-04-30,63063,3716,146,Tina Huang
34,Career advice for your 20s and 30s,2022-04-22,126412,6082,283,Tina Huang
35,Books that will pay off HUGE dividends in your 20s and 30s,2022-04-15,70323,4200,187,Tina Huang
36,5 Unique Python Projects (beginner to intermediate),2022-04-09,457371,18005,249,Tina Huang
37,How to save a half-wasted day🥲,2022-04-05,59062,3880,202,Tina Huang
38,How To Learn Anything Faster,2022-03-27,92410,5667,236,Tina Huang
39,9 ways to make money coding (and the combo strategy I recommend),2022-03-18,63728,3132,99,Tina Huang
40,Data scientists be like...,2022-03-14,38937,1603,64,Tina Huang
41,"Why you should not work at  FAANG/MANGA (Meta/Facebook, Amazon, Apple, Netflix, Google)",2022-03-11,49819,1859,132,Tina Huang
42,"what it’s ACTUALLY like to work at FAANG... (Facebook/Meta, Amazon, Netflix, Google, Apple)",2022-03-03,35688,1455,161,Tina Huang
43,How to learn programming faster!,2022-02-19,355626,17697,587,Tina Huang
44,What to EDUCATE YOURSELF on in 2022 (because the world is changing very quickly) 🐈‍⬛,2022-02-14,58474,3210,147,Tina Huang
45,Techniques I use to be more disciplined and CONSISTENTLY study (with a full time job),2022-02-03,637368,39836,633,Tina Huang
46,I built my first custom mechanical keyboard!,2022-01-27,14649,600,45,Tina Huang
47,How I motivate myself to study with a full time job (1 year in and haven’t given up yet 🤯),2022-01-17,204431,9185,382,Tina Huang
48,The one habit that will change your life,2021-12-31,50210,2618,102,Tina Huang
49,2022 create a vision board/book + plan with me!,2021-12-28,22885,947,27,Tina Huang
50,how to PROPERLY make a vision board | law of attraction in 2022,2021-12-26,63929,3148,126,Tina Huang
51,apartment home office desk tour 🐈,2021-12-18,120728,2997,200,Tina Huang
52,the 5 books that changed my life,2021-12-10,78035,4324,161,Tina Huang
53,The scoreboard I use to achieve my goals (science backed),2021-11-28,204896,8043,243,Tina Huang
54,How I use Notion in 4 different ways,2021-11-18,31992,1140,52,Tina Huang
55,Why you can’t find your passion,2021-11-09,112565,7185,317,Tina Huang
56,my simple weekly planning routine (that actually works),2021-11-03,147250,7958,212,Tina Huang
57,I play Visage and try not to cry (Halloween special),2021-11-01,12047,491,21,Tina Huang
58,What it’s like being a data scientist,2021-10-18,81466,3511,172,Tina Huang
59,How I consistently study with a full time job (9 months in and still going strong),2021-10-09,2518147,110353,1978,Tina Huang
60,Why being a data scientist is awesome!,2021-09-26,278266,10139,489,Tina Huang
61,Why you should not be a data scientist,2021-09-19,705367,20176,956,Tina Huang
62,Why I work so hard (despite having a ‘good’ job),2021-09-12,501809,22341,860,Tina Huang
63,Good coding habits to start developing NOW,2021-08-27,99642,4683,177,Tina Huang
64,How I'm figuring out what to do with my life,2021-08-22,50681,3087,146,Tina Huang
65,8 tiny habits that help me avoid procrastination,2021-08-15,326733,16340,358,Tina Huang
66,Data scientist desk setup (ergonomics while coding) | work from home edition,2021-07-28,54184,1396,145,Tina Huang
67,The habits that changed my life (and how I built them),2021-07-20,212303,10762,261,Tina Huang
68,How I'm learning to trade (forex swing trading),2021-07-11,35717,1376,141,Tina Huang
69,"How I design effective study plans for ANY SUBJECT (and stick with them) | trading, coding etc.",2021-07-04,77334,4108,145,Tina Huang
70,How I take notes - Tips for efficient note taking that speeds up learning,2021-06-26,192190,9129,261,Tina Huang
71,How I stop myself from burning out,2021-06-18,30420,1525,149,Tina Huang
72,Watch me build my portfolio! | How to create a portfolio website,2021-06-10,32110,898,50,Tina Huang
73,Data Science SQL Interview Question Walkthrough | SQL Sundays #9,2021-06-01,63190,1856,87,Tina Huang
74,"How to self study using MOOCS (Udemy, Coursera, and other online courses) | self study online",2021-05-27,272656,10997,272,Tina Huang
75,60k cooking and Q&A (ft. Uncle Roger fried rice),2021-05-23,7261,193,20,Tina Huang
76,Why you should have a portfolio website,2021-05-19,52460,2417,135,Tina Huang
77,We code a trading bot live! @jacobamaral,2021-05-10,23010,660,28,Tina Huang
78,The quant trader interview guide,2021-05-01,91624,1879,90,Tina Huang
79,How I would learn to code (if I could start over),2021-04-25,3270095,182940,2455,Tina Huang
80,"FAANG Data scientist reviews: Datacamp, Dataquest, 365 Data Science",2021-04-18,87160,1942,127,Tina Huang
81,What's the best certificate for data analysts? Google vs IBM Data Analyst Certificate,2021-04-09,470069,14451,599,Tina Huang
82,How to self study technical things,2021-04-04,2266843,80193,1731,Tina Huang
83,Watch this video before applying to Georgia Tech OMSCS,2021-03-21,61336,1069,210,Tina Huang
84,"Overview, Review and Study Tips - Google Data Analytics Professional Certificate (condensed version)",2021-03-20,339754,11792,524,Tina Huang
85,"Overview, Review and Study Tips - Google Data Analytics Professional Certificate",2021-03-19,27750,836,54,Tina Huang
86,from management consultant to software engineer | Humans of MCIT,2021-03-15,4321,101,6,Tina Huang
87,Needed to learn javascript in 3 hours - would not recommend,2021-03-07,16030,686,98,Tina Huang
88,Data science interview tips (product and technical interviews),2021-02-28,6289,225,20,Tina Huang
89,My career changing computer science masters degree in 15 minutes (Upenn MCIT),2021-02-21,53218,1542,225,Tina Huang
90,the most underrated data job in 2021,2021-02-05,18408,683,127,Tina Huang
91,cake and big sister advice 🖤,2021-01-31,5802,298,73,Tina Huang
92,How to get a data science job,2021-01-24,62867,2300,139,Tina Huang
93,Internship that made me rethink my career...(technology summer analyst at Goldman Sachs),2021-01-17,294281,7734,512,Tina Huang
94,How to learn math for data science (the minimize effort maximize outcome way),2021-01-11,103085,4180,227,Tina Huang
95,A productive day as a data scientist | day in the life of a data scientist vlog #2,2021-01-02,15726,357,38,Tina Huang
96,How to learn data science in 2022 (the minimize effort maximize outcome way),2020-12-26,474556,21640,633,Tina Huang
97,Do you have what it takes to be a great data scientist?,2020-12-20,9138,445,57,Tina Huang
98,The comments sections are WILD | YouTube sentiment analysis - Data science project for beginners,2020-12-11,11850,302,62,Tina Huang
99,A hard work day (ft. new NLP project) | FAANG data science isn't chill | vlog 1,2020-12-01,14675,301,46,Tina Huang
100,3 tips to avoid debt for a masters #SHORTS,2020-11-23,42280,2175,65,Tina Huang
101,The software engineering resume that got me into FAANG and Goldman Sachs (internship),2020-11-17,19403,383,45,Tina Huang
102,How I chose my masters degree (as an international student),2020-11-08,16473,490,86,Tina Huang
103,Interview with a quant trader,2020-11-02,111486,2867,229,Tina Huang
104,Data Science SQL Interview Question Walkthrough (real interview style) | SQL Sundays #8,2020-10-28,9740,253,50,Tina Huang
105,The data science resume that got me my FAANG (MANGA?) job (entry level data scientist),2020-10-23,235064,6250,265,Tina Huang
106,Data Science SQL Interview Question Walkthrough (real interview style) | SQL Sundays #7,2020-10-19,7544,191,27,Tina Huang
107,Data Science vs Software Engineering Interview | 3 Key Differences,2020-10-14,29676,1951,82,Tina Huang
108,SQL Data Science Interview Question Walkthrough | SQL Sundays #6,2020-10-12,7634,189,40,Tina Huang
109,Data Science Resume Round-Up With @KenJee_ds  - Episode 2,2020-10-09,5227,147,22,Tina Huang
110,Data Science SQL Interview Question Walkthrough | SQL Sundays #5,2020-10-05,12910,329,60,Tina Huang
111,SQL Data Science Interview Questions and Answers (interview style walk-through) | SQL Sundays #4,2020-09-27,15395,328,50,Tina Huang
112,Biology to Data Science (data professor's tips on how to get a data science research position),2020-09-26,5113,168,35,Tina Huang
113,SQL Data Science Interview Questions and Answers (interview style walk-through) | Question 3,2020-09-21,15055,345,47,Tina Huang
114,A day in the life of a data scientist (FAANG data scientist remote),2020-09-19,92915,2778,203,Tina Huang
115,THANK YOU FOR 1000! | Proper intro | Random facts about myself,2020-09-14,3097,132,52,Tina Huang
116,Real Data Science SQL Interview Questions and Answers # 2 | Data Science Interview Questions,2020-09-12,31527,918,116,Tina Huang
117,3 More Unique and Impactful Projects to get a Data Science Job,2020-09-08,23288,1206,73,Tina Huang
118,Real Data Science SQL Interview Questions and Answers # 1 | Data Science Interview Questions,2020-09-04,234864,8045,301,Tina Huang
119,Upenn MCIT Program Details and Real Student Experiences - Dr. Arvind Bhusnurmath,2020-08-30,13435,360,68,Tina Huang
120,The Ultimate Guide to Land a Data Science Internship | schedule and time management survival guide,2020-08-25,20979,1101,62,Tina Huang
121,"Are you a student? If yes, this is the best data science project for you!",2020-08-20,69726,3587,206,Tina Huang
122,3rd Year CS Resume (and asian drink) Review | Reviewing Your Resumes Ep. 2,2020-08-18,2978,73,12,Tina Huang
123,How to learn SQL for data science interview (the minimize effort maximize outcome way),2020-08-12,109803,6467,234,Tina Huang
124,"3rd Year Statistics,  Data Science, Computer Science Resume | Reviewing Your Resumes Ep. 1",2020-08-08,7038,194,24,Tina Huang
125,How I Became a Data Scientist | Computer Science Job Search Part 2,2020-08-02,15829,449,41,Tina Huang
126,How I got Software Engineering and Data Science Internships | Computer Science Job Search Part 1,2020-07-28,30636,1010,69,Tina Huang
127,How to choose between software engineering and data science | 5 Key Considerations,2020-07-22,386310,17463,668,Tina Huang
128,My UPenn MCIT Experience,2020-07-17,23011,366,74,Tina Huang
0,The End of Data Analysts?!? (ChatGPT's Code Interpreter),2023-07-26,161694,2984,244,Luke Barousse
1,How I use ChatGPT as a Data Analyst,2023-07-07,194572,3150,158,Luke Barousse
2,ChatGPT vs. Bard for Data Analysts,2023-05-20,65125,1343,115,Luke Barousse
3,Luke Barousse Live Stream,2023-05-12,0,0,0,Luke Barousse
4,Google’s BI vs. Advanced Data Analytics Certificates,2023-04-13,123773,5582,252,Luke Barousse
5,Freelance Jobs in Data Science ft.@ShashankData,2023-03-27,20967,1280,6,Luke Barousse
6,Gain Experience WITHOUT a Job 🤯,2023-03-24,18811,1732,22,Luke Barousse
7,How I find Projects as a Data Analyst,2023-03-22,27933,2334,13,Luke Barousse
8,How I Learn Faster with THIS 😴,2023-03-20,8895,680,19,Luke Barousse
9,How I Remember Everything I Learn 🧠,2023-03-17,20716,1245,15,Luke Barousse
10,How I Learn 🧠,2023-03-15,9310,748,10,Luke Barousse
11,How I use Statistics as a Data Analyst,2023-03-13,23217,1414,16,Luke Barousse
12,How I use Math as a Data Analyst,2023-03-10,31494,2146,14,Luke Barousse
13,How much Math for Data Analysis,2023-03-08,20498,1069,15,Luke Barousse
14,Is a Data Science Degree really necessary? 🤔,2023-03-06,18354,874,6,Luke Barousse
15,Secrets of a Data Science Hiring Manager 🤫 - Pt.2,2023-03-03,6968,372,0,Luke Barousse
16,Secrets of a Data Science Hiring Manager 🤫,2023-03-01,11410,823,7,Luke Barousse
17,SQL... but for non-data nerds,2023-02-27,51485,3594,23,Luke Barousse
18,Popular SQL databases for data nerds,2023-02-24,14906,1378,14,Luke Barousse
19,What is SQL?!?,2023-02-22,35225,2011,15,Luke Barousse
20,How I use SQL as a data analyst,2023-02-20,68610,4767,45,Luke Barousse
21,"I analyzed 1,251,053 jobs to solve THIS",2023-02-17,281678,14748,1123,Luke Barousse
22,Hacking data for my subscribers,2023-02-16,11486,1129,23,Luke Barousse
23,I built an app for data nerds,2023-02-14,21874,1924,30,Luke Barousse
24,"How I saved $3,000 on ""The Cloud”? ☁️",2023-02-10,7111,441,13,Luke Barousse
25,What jobs are in Data Science? 🤓,2023-02-08,36220,2341,20,Luke Barousse
26,Can you automate a job search? 😳🤖,2023-02-06,17099,966,12,Luke Barousse
27,Degrees. Are they overrated?!?,2023-02-03,8253,551,14,Luke Barousse
28,Data Job with NO degree ❌🎓🤯,2023-02-01,27433,1510,33,Luke Barousse
29,Rejection is never easy 😔,2023-01-30,17815,1245,28,Luke Barousse
30,Top Excel courses for Data Analysts 🧑‍🎓📊,2023-01-20,53334,5334,54,Luke Barousse
31,Data Science with NO coding 😳👨🏼‍💻,2023-01-18,28694,1558,32,Luke Barousse
32,Degrees vs. Experience in Data Science 📜 🆚 📊,2023-01-16,29172,1890,32,Luke Barousse
33,Data Analyst's first course 🧑‍💻,2023-01-13,13686,1489,25,Luke Barousse
34,Data Analysts are lowest paid in Data Science 💸🥵,2023-01-11,57197,3181,61,Luke Barousse
35,Day in the life of a Data Analyst 🤓📊,2023-01-10,64230,5653,52,Luke Barousse
36,Why you never stop learning in Data Science 🧠🤓,2023-01-05,14491,998,14,Luke Barousse
37,How THIS got me a Data Analyst job 🤓📈,2023-01-04,26446,2030,28,Luke Barousse
38,If I had to start over as a Data Analyst 🤓📊,2023-01-03,21652,1906,9,Luke Barousse
39,How to learn to be a Data Analyst 🤓📊,2023-01-02,29293,2478,13,Luke Barousse
40,Python 🐍 and R 🏴‍☠️ course recommendations,2022-12-29,21388,1581,12,Luke Barousse
41,Working with 😰 social anxiety,2022-12-28,6376,340,9,Luke Barousse
42,Python 🐍 Vs. R  🏴‍☠️,2022-12-22,23914,1260,27,Luke Barousse
43,Top Skills of a Data Analyst 🤓📊,2022-12-20,23500,2080,46,Luke Barousse
44,I became a famous rapper (with ChatGPT) 🤖🎙️,2022-12-18,7370,294,16,Luke Barousse
45,What the HECK is a “Data Pipeline”? 👩🏻‍🔧📊🪠,2022-12-16,13291,1142,15,Luke Barousse
46,Should you learn Python? 🐍💻🤓,2022-12-14,42564,2457,33,Luke Barousse
47,Ticketmaster EXPOSED by Data Nerds 🤓  (Taylor Swift - Eras Tour),2022-12-12,10895,483,12,Luke Barousse
48,Data Science Jobs WITHOUT Experience 🤷🏼‍♂️❌🧑‍💻,2022-12-08,15863,1361,13,Luke Barousse
49,Get NOTICED in Data Science 👀🧑‍💻📊,2022-12-06,16010,1331,4,Luke Barousse
50,Nightmares of Microsoft Excel ☠️📊😵,2022-12-02,125056,1924,83,Luke Barousse
51,How I use Excel as a Data Analyst 📊🤓,2022-12-01,66184,3592,38,Luke Barousse
52,Non-Python Machine Learning Tools ❌🐍🤖,2022-11-30,34751,1379,34,Luke Barousse
53,How I use Python as a Data Analyst,2022-11-25,278121,11725,453,Luke Barousse
54,How to become a Data Analyst? 🤓,2022-11-25,23006,1945,25,Luke Barousse
55,What is Machine Learning? 🤖📚,2022-11-22,19132,1349,17,Luke Barousse
56,Is web scraping legal? 🫢😳,2022-11-20,457225,12431,307,Luke Barousse
57,Are degrees overrated? 👎🏼📜🚫,2022-10-27,37284,2078,51,Luke Barousse
58,THEY became Data Analysts with NO degree,2022-10-12,58526,2928,366,Luke Barousse
59,Tools you should know as a Data Analyst,2022-09-20,46832,1794,127,Luke Barousse
60,How I use Machine Learning as a Data Analyst,2022-08-30,101229,3537,183,Luke Barousse
61,How I use Math as a Data Analyst,2022-06-10,93909,4328,300,Luke Barousse
62,Data Analyst vs. Data Scientist (funny!),2022-05-24,46834,2144,272,Luke Barousse
63,How I use Excel as a Data Analyst,2022-05-16,429932,13956,558,Luke Barousse
64,PROJECTS that landed Data Jobs for my Subscribers,2022-04-13,238344,11061,318,Luke Barousse
65,They became Data Analysts with THIS - Google Data Analytics Certificate: One Year Later,2022-04-01,486655,15574,958,Luke Barousse
66,How I find projects as a Data Analyst,2022-03-07,112931,5427,205,Luke Barousse
67,How I learned how to learn,2022-02-25,123793,6244,352,Luke Barousse
68,The book every Data Analyst should read,2022-02-08,177218,9126,311,Luke Barousse
69,How I use SQL as a Data Analyst,2022-01-28,661502,23454,820,Luke Barousse
70,Why you should NOT be a Data Analyst,2022-01-14,176084,4869,465,Luke Barousse
71,How I Would Learn to be a Data Analyst,2022-01-05,1308818,53633,1210,Luke Barousse
72,Top Courses to Become a Data Analyst,2021-12-27,476075,22694,754,Luke Barousse
73,Mac vs PC for Data Science (SPOILER: Don't get a Mac...),2021-12-16,155156,3966,392,Luke Barousse
74,"M1 Chip is as FAST as M1 Max!!! 🤯  (13"" Mac Air Vs. 14"" Mac Pro) #shorts",2021-12-10,512159,18690,456,Luke Barousse
75,M1 Max/Pro vs M1 Macbook for Data Science.... should you?!?,2021-12-07,99703,2666,269,Luke Barousse
76,How I learn Data Science as a Data Analyst 🤓📚,2021-11-24,57468,3499,44,Luke Barousse
77,Data Scientist vs Data Engineer vs Data Analyst (funny!),2021-11-22,79259,3536,223,Luke Barousse
78,Building a bot to scrape job data… How NOT to collect data,2021-11-15,70078,2366,204,Luke Barousse
79,How to get Data Analytics side jobs - NEW LinkedIn Feature,2021-11-09,77379,4705,26,Luke Barousse
80,Top Jobs in Data Science,2021-11-03,153561,6040,302,Luke Barousse
81,The BIGGEST MISTAKE when starting a data project!,2021-09-24,39999,2083,154,Luke Barousse
82,Learn PYTHON to be a DATA ANALYST?!? (or is R enough...),2021-09-15,242537,9883,660,Luke Barousse
83,How to show EXPERIENCE... when you have NONE?!?,2021-09-01,41663,2094,129,Luke Barousse
84,Use THIS to showcase EXPERIENCE in Data Science,2021-08-24,23473,1420,103,Luke Barousse
85,Get NOTICED in Data Science!!! (3 types of GREAT projects),2021-08-17,89531,5001,176,Luke Barousse
86,Data Science - Expectation vs Reality (funny!) - ft. @KenJee_ds,2021-08-06,42128,1894,238,Luke Barousse
87,Staying Motivated in Data Science,2021-07-13,12872,693,101,Luke Barousse
88,Get a JOB w/ Google Data Analytics Certificate?!? (ft. Certificate Holders),2021-07-01,271272,9799,950,Luke Barousse
89,Transition into Data Science - My Tips & Story,2021-06-16,51359,2339,265,Luke Barousse
90,STOP using Spreadsheets for Everything!,2021-05-30,144076,4901,592,Luke Barousse
91,Standout as a Data Analyst with THIS TOOL,2021-05-08,97401,3554,213,Luke Barousse
92,I used Python to Count my Bike Jumps!,2021-04-28,11482,445,73,Luke Barousse
93,THIS got me my job as a Data Analyst - My portfolio tip,2021-04-19,257497,10855,372,Luke Barousse
94,Python Vs R (funny!),2021-04-11,115584,3316,397,Luke Barousse
95,Google vs IBM Data Analyst Certificate - BEST Certificate for Data Analysts,2021-04-01,760910,28114,1321,Luke Barousse
96,Certificates vs Degree for Data Analysts (ft. Google Data Analytics Professional Certificate),2021-03-25,57009,2181,213,Luke Barousse
97,Become a DATA ANALYST with NO degree?!? The Google Data Analytics Professional Certificate,2021-03-17,4252227,107428,3385,Luke Barousse
98,Data Scientist vs Data Analyst (funny!),2021-03-11,324993,8128,399,Luke Barousse
99,Mac Vs PC - BEST for Data Science,2021-03-04,78496,1971,246,Luke Barousse
100,Power BI vs Tableau - Best BI Tool,2021-02-25,339854,8225,482,Luke Barousse
101,Day in the life of a data analyst,2021-02-18,95625,2768,383,Luke Barousse
102,Data Science shortcuts for Mac,2021-02-10,4203,195,21,Luke Barousse
103,Install your favorite Windows app on M1 Mac - ft. Parallels,2021-02-04,57540,1392,338,Luke Barousse
104,Windows on the M1 Mac - What are your options?,2021-01-30,311599,6091,685,Luke Barousse
105,Data Analyst's WFH Setup & Upgrades,2021-01-21,48540,1122,72,Luke Barousse
106,Python for M1 Mac vs Intel (SPOILER: M1 is 2x faster),2021-01-14,16918,377,69,Luke Barousse
107,M1 Macbook Air vs Pro (8 vs 16 GB) for Data Science,2021-01-07,115894,2426,362,Luke Barousse
108,M1 vs Intel Mac for Business Intelligence Tools 💻📊,2021-01-03,2416,53,0,Luke Barousse
109,M1 vs Intel Mac for Python 🐍👨🏼‍💻,2021-01-03,1638,49,5,Luke Barousse
110,M1 vs Intel Mac for Excel 📈👨🏼‍💻,2021-01-02,2164,51,2,Luke Barousse
111,M1 vs Intel Mac for Data Science,2021-01-02,77886,1933,328,Luke Barousse
112,Top Non-technical Skills for Business Intelligence 📊👨🏼‍💻,2020-12-19,1771,96,5,Luke Barousse
113,Top 3️⃣ Technical Skills for Business Intelligence 📚📊,2020-12-19,2001,102,2,Luke Barousse
114,What is Business Intelligence (BI)? 📊😅,2020-12-19,2251,131,3,Luke Barousse
115,How NOT to learn Python for Data Science,2020-11-25,128336,4413,216,Luke Barousse
116,Lambda Functions for Data Science / Data Analysis - Python P.6,2020-11-19,3722,167,24,Luke Barousse
117,Python Functions for Data Science / Data Analysis - P.5,2020-11-14,4367,148,15,Luke Barousse
118,Python List Comprehension for Data Science / Data Analysis - P.4,2020-11-11,3172,130,23,Luke Barousse
119,Python For & While Loops for Data Science / Data Analysis - P.3,2020-11-07,6186,224,43,Luke Barousse
120,Python If Statements for Data Science / Data Analysis - P.2,2020-11-06,4534,145,34,Luke Barousse
121,Python Objects frequently used in Data Science / Data Analysis - P.1,2020-11-04,10422,405,57,Luke Barousse
122,Python for Data Science / Analysis  ft. 'The Office' Dataset - P.0,2020-11-04,16371,571,22,Luke Barousse
123,Using VS Code with Python for Data Science / Data Analysis - P.5,2020-10-27,59082,1271,83,Luke Barousse
124,Understanding Virtual Environments for Data Science / Data Analysis - P.4,2020-10-20,33951,1098,92,Luke Barousse
125,Install VS Code with Python for Data Science / Data Analysis - P.3,2020-10-15,15370,438,30,Luke Barousse
126,How to run Python for Data Science - Editors vs IDEs - P.2,2020-10-12,18487,495,35,Luke Barousse
127,Install Python for Data Science on Mac & Windows (PC) with Anaconda - P.1,2020-10-11,21340,586,31,Luke Barousse
128,Upload your dashboard to Tableau Public  - Tableau Tutorial P.10,2020-10-08,11630,183,26,Luke Barousse
129,How To Create a Dashboard - Tableau Tutorial P.9,2020-10-05,6831,196,22,Luke Barousse
130,"Totals, Average Lines, & Trend Lines (Analytics Pane) - Tableau Tutorial P.8",2020-10-01,7154,124,13,Luke Barousse
131,Parameters (Create & Use in Calculated Fields and/or Visuals) - Tableau Tutorial P.7,2020-09-24,9004,161,11,Luke Barousse
132,Calculated Fields in Tableau (Formulas & IF Statements) - Tableau Tutorial P.6,2020-09-22,22813,315,15,Luke Barousse
133,Conditional Format Tables in Tableau (Like Excel!) - Tableau Tutorial P.5,2020-09-11,8991,144,9,Luke Barousse
134,Create Stacked Bar Chart (and any other visuals EASILY!) w/ Show Me! - Tableau Tutorial P.4,2020-09-11,2155,82,8,Luke Barousse
135,Dimensions Vs Measures  (Blue Vs Green Data) - Tableau Tutorial P.3,2020-09-09,3050,131,10,Luke Barousse
136,How To Use Tableau Desktop Controls - Tableau Tutorial P.2,2020-09-01,4428,168,10,Luke Barousse
137,Connect Google Sheets to Tableau & Joining Data - Tableau Tutorial P.1,2020-08-14,22918,428,28,Luke Barousse
0,SQL Data Analytics Project (PART 2) | Data Analyst Portfolio Project,2023-08-06,4773,209,13,techTFQ
1,SQL Data Analytics Project (PART 1) | Data Analyst Portfolio Project,2023-08-04,16115,833,92,techTFQ
2,Learn SQL from me | Live SQL Training | SQL Bootcamp,2023-05-25,21019,598,169,techTFQ
3,Learn Python here | Learn Python Programming here,2023-05-16,13725,258,21,techTFQ
4,Solving a Complex SQL Interview problem | Practice SQL Queries,2023-03-21,32967,940,100,techTFQ
5,REAL SQL Interview Problem | Hierarchical data in SQL,2023-03-14,18078,707,58,techTFQ
6,Complete guide to Database Normalization in SQL,2023-03-07,49173,2264,231,techTFQ
7,SQL Live class on Lighthall | Learn SQL from Basic to Advance in SQL Bootcamp,2023-01-26,11969,247,151,techTFQ
8,How to learn SQL for free | Roadmap to learning SQL,2022-12-28,375231,11848,378,techTFQ
9,Solving an SQL Interview Problem,2022-12-18,33085,1366,17,techTFQ
10,Solving SQL Interview Query | Find Tree Node type using SQL,2022-12-12,19869,860,51,techTFQ
11,Solving SQL Interview Query for Data Analyst asked by a Product based company,2022-12-07,380988,8922,255,techTFQ
12,Solving a tricky SQL Interview Query,2022-11-21,42425,1464,120,techTFQ
13,SQL Interview Query for Data Analyst,2022-11-14,46847,1705,68,techTFQ
14,Solving a Complex SQL Interview Problem | Find the Most Modified File Extension,2022-10-31,24766,955,73,techTFQ
15,SQL JOINS Interview Question | What does different SQL Joins return?,2022-10-24,228934,7167,364,techTFQ
16,Google SQL Interview Problem | Solving SQL Interview Query,2022-10-10,32951,1249,126,techTFQ
17,SQL Interview Problem asked by Product Based Company | Solving SQL Interview Query,2022-10-05,53789,2060,134,techTFQ
18,How to become a Data Analyst FASTER ?,2022-09-30,93103,3948,186,techTFQ
19,Tricky SQL Interview Query | Practice Solving SQL Interview Queries,2022-09-22,27723,863,99,techTFQ
20,"Solving SQL Interview Query using a ""VERY IMPORTANT SQL concept""",2022-09-19,94009,2288,172,techTFQ
21,Solving SQL Interview Query | SQL Problem by Service based company,2022-09-16,28479,1071,72,techTFQ
22,Practice SQL Interview Query | Big 4 Interview Question,2022-09-12,77411,2876,171,techTFQ
23,Solving SQL Interview Query | Ungroup given input data | FAANG Interview Query,2022-09-08,33640,1015,81,techTFQ
24,How to remove Duplicate Data in SQL | SQL Query to remove duplicate,2022-09-02,216147,5372,227,techTFQ
25,Solving Complex SQL Query from HackerRank | SQL Interview Query,2022-08-10,58196,1496,142,techTFQ
26,Data Analyst vs Business Analyst | What should you choose?,2022-07-26,26581,1179,107,techTFQ
27,Materialized View in SQL | Faster SQL Queries using Materialized Views,2022-07-07,57937,1583,168,techTFQ
28,Learn SQL the right way | SQL Live Training | Learn SQL from me,2022-06-28,29198,586,189,techTFQ
29,SQL Interview Assignment Queries | REAL SQL Assignment given in Interview Part 2 (Query Solution),2022-06-21,22312,553,48,techTFQ
